Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Category sound	Additional information
247	Spectrogram 1	1	2288.534	2303.026	459.8	6988.5	Bird	low
248	Spectrogram 1	1	2298.31	2300.048	0	11310.3	Buzz	
249	Spectrogram 1	1	2300.612	2332.624	3963.3	15082.6	Other animal	
250	Spectrogram 1	1	2305.192	2322.936	643.7	6160.9	Bird	low
251	Spectrogram 1	1	2311.633	2313.349	0	9011.5	Bird	
252	Spectrogram 1	1	2312.53	2314.44	0	6528.7	Buzz	
253	Spectrogram 1	1	2323.477	2341.756	0	3014	Bird	
254	Spectrogram 1	1	2325.631	2343.097	735.6	7264.4	Bird	low
255	Spectrogram 1	1	2326.437	2329.242	3237.2	8037.2	Bird	
256	Spectrogram 1	1	2328.707	2331.756	0	3874.4	Buzz	
257	Spectrogram 1	1	2333.632	2336.925	2567.4	7479.1	Bird	
258	Spectrogram 1	1	2339.576	2369.027	2642.2	15743.1	Other animal	
259	Spectrogram 1	1	2342.416	2344.144	0	9287.4	Buzz	
260	Spectrogram 1	1	2344.205	2385.853	735.6	7777.8	Bird	low
261	Spectrogram 1	1	2365.818	2367.729	0	6252.9	Buzz	
262	Spectrogram 1	1	2376.144	2378.095	0	12413.8	Bird	
263	Spectrogram 1	1	2394.603	2420.101	827.6	7172.4	Bird	low
264	Spectrogram 1	1	2407.076	2413.295	4844	15743.1	Other animal	
265	Spectrogram 1	1	2410.675	2418.15	0	4597.7	Buzz	
266	Spectrogram 1	1	2437.867	2458.487	0	6252.9	Bird	
267	Spectrogram 1	1	2442.257	2462.43	735.6	7540.2	Bird	low
268	Spectrogram 1	1	2463.046	2464.164	0	4505.7	Buzz	
269	Spectrogram 1	1	2464.578	2478.481	643.7	6160.9	Bird	low
270	Spectrogram 1	1	2479.245	2483.361	0	4505.7	Buzz	
271	Spectrogram 1	1	2489.424	2499.546	1011.5	6896.6	Bird	low
272	Spectrogram 1	1	2503.144	2515.339	333.3	6712.6	Bird	low
273	Spectrogram 1	1	2516.892	2530.591	1471.3	7172.4	Bird	low
274	Spectrogram 1	1	2529.757	2534.743	2298.9	9931	Bird	
275	Spectrogram 1	1	2533.222	2559.746	3633	15853.2	Other animal	
276	Spectrogram 1	1	2537.833	2540.007	0	5609.2	Buzz	
277	Spectrogram 1	1	2538.43	2542.698	827.6	6896.6	Bird	low
278	Spectrogram 1	1	2554.702	2556.735	0	6620.7	Buzz	
279	Spectrogram 1	1	2567.672	2587.316	735.6	8735.6	Bird	low
280	Spectrogram 1	1	2581.88	2608.954	2642.2	17284.4	Other animal	
281	Spectrogram 1	1	2594.686	2597.105	0	8459.8	Buzz	
282	Spectrogram 1	1	2596.719	2599.158	0	8367.8	Bird	low
283	Spectrogram 1	1	2605.068	2611.784	1103.4	7172.4	Bird	low
284	Spectrogram 1	1	2612.932	2637.749	827.6	7448.3	Bird	low
285	Spectrogram 1	1	2615.649	2734.094	3522.9	18275.2	Other animal	
286	Spectrogram 1	1	2625.455	2628.605	0	6160.9	Buzz	
287	Spectrogram 1	1	2639.304	2682.81	643.7	6896.6	Bird	low
288	Spectrogram 1	1	2651.113	2652.881	0	6804.6	Buzz	
289	Spectrogram 1	1	2682.729	2686.635	0	9074.6	Buzz	
290	Spectrogram 1	1	2684.558	2725.859	735.6	7540.2	Bird	low
291	Spectrogram 1	1	2689.826	2697.143	0	6935.8	Buzz	
292	Spectrogram 1	1	2727.788	2735.796	1563.2	7356.3	Bird	low
293	Spectrogram 1	1	2735.747	2806.016	919.5	7448.3	Bird	low
294	Spectrogram 1	1	2736.765	2809.935	2862.4	18385.3	Other animal	
295	Spectrogram 1	1	2800.377	2802.369	0	6712.6	Buzz	
296	Spectrogram 1	1	2808.72	2843.857	459.8	6995.5	Bird	low
297	Spectrogram 1	1	2840.301	2891.155	3633	19486.2	Other animal	
298	Spectrogram 1	1	2846.45	2851.105	919.5	7172.4	Bird	low
299	Spectrogram 1	1	2850.333	2856.146	0	6160.9	Buzz	
300	Spectrogram 1	1	2856.715	2903.551	643.7	6804.6	Bird	low
301	Spectrogram 1	1	2884.367	2889.591	0	4873.6	Buzz	
302	Spectrogram 1	1	2892.362	2957.118	3633	19376.1	Other animal	
303	Spectrogram 1	1	2898.083	2902.005	0	4413.8	Buzz	
304	Spectrogram 1	1	2912.099	2946.074	735.6	6804.6	Bird	low
305	Spectrogram 1	1	2945.81	2949.022	919.5	6252.9	Bird	
306	Spectrogram 1	1	2949.406	2960.866	227.5	6620.7	Bird	low
307	Spectrogram 1	1	2968.631	2972.087	919.5	7172.4	Bird	low
308	Spectrogram 1	1	2968.643	3039.618	3743.1	19706.4	Other animal	
309	Spectrogram 1	1	2971.611	2976.387	0	9379.3	Bird	
310	Spectrogram 1	1	2972.018	2982.648	827.6	7172.4	Bird	low
311	Spectrogram 1	1	2991.357	2999.022	919.5	6896.6	Bird	low
312	Spectrogram 1	1	3000.891	3006.887	919.5	8459.8	Bird	low
313	Spectrogram 1	1	3013.235	3017.625	910	6069	Bird	low
314	Spectrogram 1	1	3024.867	3025.863	1011.5	5885.1	Bird	low
315	Spectrogram 1	1	3033.009	3044.699	682.5	7356.3	Bird	low
316	Spectrogram 1	1	3052.735	3084.798	1103.4	7816.1	Bird	low
317	Spectrogram 1	1	3060.033	3109.24	5064.2	18825.7	Other animal	
318	Spectrogram 1	1	3060.396	3074.055	0	5573.5	Buzz	
319	Spectrogram 1	1	3070.181	3169.213	1636.4	6000	Bird	
320	Spectrogram 1	1	3111.984	3273.618	4844	19266.1	Other animal	
321	Spectrogram 1	1	3170.091	3212.398	1636.4	6436.4	Bird	
322	Spectrogram 1	1	3179.961	3191.851	568.7	6109.1	Bird	low
323	Spectrogram 1	1	3212.648	3213.949	0	8290.9	Buzz	
324	Spectrogram 1	1	3215.916	3241.435	1745.5	7636.4	Bird	
325	Spectrogram 1	1	3235.229	3236.876	0	7527.3	Buzz	
326	Spectrogram 1	1	3239.615	3243.884	0	4436	Buzz	
327	Spectrogram 1	1	3241.748	3306.715	2290.9	6109.1	Bird	
328	Spectrogram 1	1	3244.821	3247.971	558.1	7418.2	Bird	
329	Spectrogram 1	1	3263.188	3266.846	1339.5	7641.3	Bird	
330	Spectrogram 1	1	3273.435	3343.13	4844	20036.7	Other animal	
331	Spectrogram 1	1	3297.487	3302.528	0	10581.8	Bird	
332	Spectrogram 1	1	3306.471	3326.183	545.5	7200	Bird	low
333	Spectrogram 1	1	3334.719	3343.154	654.5	7636.4	Bird	low
334	Spectrogram 1	1	3342.565	3344.78	0	10800	Buzz	
335	Spectrogram 1	1	3345.443	3349.304	981.8	6327.3	Bird	low
336	Spectrogram 1	1	3351.012	3354.284	0	8618.2	Bird	low
337	Spectrogram 1	1	3355.204	3367.643	4954.1	20311.9	Other animal	
338	Spectrogram 1	1	3360.309	3366.378	1090.9	7963.6	Bird	low
339	Spectrogram 1	1	3389.825	3397.955	1309.1	7854.5	Bird	low
340	Spectrogram 1	1	3403.752	3406.658	0	8509.1	Bird	low
341	Spectrogram 1	1	3416.594	3443.484	3412.8	15633	Other animal	
342	Spectrogram 1	1	3421.579	3428.53	545.5	7200	Bird	
343	Spectrogram 1	1	3437.05	3440.506	327.3	7745.5	Bird	
344	Spectrogram 1	1	3444.289	3476.667	3853.2	15853.2	Other animal	
345	Spectrogram 1	1	3448.465	3452.632	654.5	8509.1	Bird	low
346	Spectrogram 1	1	3455.213	3457.449	0	6545.5	Buzz	
347	Spectrogram 1	1	3458.506	3463.079	654.5	7200	Bird	low
348	Spectrogram 1	1	3468.924	3475.022	0	9490.9	Bird	
349	Spectrogram 1	1	3487.156	3488.985	0	8509.1	Buzz	
